,county,emm
1079,"LA, Acadia Parish",MISS
1080,"LA, Allen Parish",SPPS
1081,"LA, Ascension Parish",MISS
1082,"LA, Assumption Parish",MISS
1083,"LA, Avoyelles Parish",SPPS
1084,"LA, Beauregard Parish",SPPS
1085,"LA, Bienville Parish",SPPS
1086,"LA, Bossier Parish",SPPS
1087,"LA, Caddo Parish",SPPS
1088,"LA, Calcasieu Parish",MISS
1089,"LA, Caldwell Parish",MISS
1090,"LA, Cameron Parish",MISS
1091,"LA, Catahoula Parish",MISS
1092,"LA, Claiborne Parish",MISS
1093,"LA, Concordia Parish",MISS
1094,"LA, De Soto Parish",SPPS
1095,"LA, East Baton Rouge Parish",MISS
1096,"LA, East Carroll Parish",MISS
1097,"LA, East Feliciana Parish",MISS
1098,"LA, Evangeline Parish",SPPS
1099,"LA, Franklin Parish",MISS
1100,"LA, Grant Parish",SPPS
1101,"LA, Iberia Parish",MISS
1102,"LA, Iberville Parish",MISS
1103,"LA, Jackson Parish",SPPS
1104,"LA, Jefferson Parish",MISS
1105,"LA, Jefferson Davis Parish",MISS
1106,"LA, Lafayette Parish",MISS
1107,"LA, Lafourche Parish",MISS
1108,"LA, La Salle Parish",SPPS
1109,"LA, Lincoln Parish",MISS
1110,"LA, Livingston Parish",MISS
1111,"LA, Madison Parish",MISS
1112,"LA, Morehouse Parish",MISS
1113,"LA, Natchitoches Parish",SPPS
1114,"LA, Orleans Parish",MISS
1115,"LA, Ouachita Parish",MISS
1116,"LA, Plaquemines Parish",MISS
1117,"LA, Pointe Coupee Parish",MISS
1118,"LA, Rapides Parish",SPPS
1119,"LA, Red River Parish",SPPS
1120,"LA, Richland Parish",MISS
1121,"LA, Sabine Parish",SPPS
1122,"LA, St. Bernard Parish",MISS
1123,"LA, St. Charles Parish",MISS
1124,"LA, St. Helena Parish",MISS
1125,"LA, St. James Parish",MISS
1126,"LA, St. John the Baptist Parish",MISS
1127,"LA, St. Landry Parish",MISS
1128,"LA, St. Martin Parish",MISS
1129,"LA, St. Mary Parish",MISS
1130,"LA, St. Tammany Parish",MISS
1131,"LA, Tangipahoa Parish",MISS
1132,"LA, Tensas Parish",MISS
1133,"LA, Terrebonne Parish",MISS
1134,"LA, Union Parish",MISS
1135,"LA, Vermilion Parish",MISS
1136,"LA, Vernon Parish",SPPS
1137,"LA, Washington Parish",MISS
1138,"LA, Webster Parish",SPPS
1139,"LA, West Baton Rouge Parish",MISS
1140,"LA, West Carroll Parish",MISS
1141,"LA, West Feliciana Parish",MISS
1142,"LA, Winn Parish",SPPS
1143,"ME, Androscoggin County",ISNE
1144,"ME, Aroostook County",ISNE
1145,"ME, Cumberland County",ISNE
1146,"ME, Franklin County",ISNE
1147,"ME, Hancock County",ISNE
1148,"ME, Kennebec County",ISNE
1149,"ME, Knox County",ISNE
1150,"ME, Lincoln County",ISNE
1151,"ME, Oxford County",ISNE
1152,"ME, Penobscot County",ISNE
1153,"ME, Piscataquis County",ISNE
1154,"ME, Sagadahoc County",ISNE
1155,"ME, Somerset County",ISNE
1156,"ME, Waldo County",ISNE
1157,"ME, Washington County",ISNE
1158,"ME, York County",ISNE
1159,"MD, Allegany County",PJMW
1160,"MD, Anne Arundel County",PJME
1161,"MD, Baltimore County",PJME
1162,"MD, Calvert County",PJME
1163,"MD, Caroline County",PJME
1164,"MD, Carroll County",PJME
1165,"MD, Cecil County",PJME
1166,"MD, Charles County",PJME
1167,"MD, Dorchester County",PJME
1168,"MD, Frederick County",PJMW
1169,"MD, Garrett County",PJMW
1170,"MD, Harford County",PJME
1171,"MD, Howard County",PJME
1172,"MD, Kent County",PJME
1173,"MD, Montgomery County",PJMW
1174,"MD, Prince George's County",PJME
1175,"MD, Queen Anne's County",PJME
1176,"MD, St. Mary's County",PJME
1177,"MD, Somerset County",PJME
1178,"MD, Talbot County",PJME
1179,"MD, Washington County",PJMW
1180,"MD, Wicomico County",PJME
1181,"MD, Worcester County",PJME
1182,"MD, Baltimore city",PJME
1183,"MA, Barnstable County",ISNE
1184,"MA, Berkshire County",ISNE
1185,"MA, Bristol County",ISNE
1186,"MA, Dukes County",ISNE
1187,"MA, Essex County",ISNE
1188,"MA, Franklin County",ISNE
1189,"MA, Hampden County",ISNE
1190,"MA, Hampshire County",ISNE
1191,"MA, Middlesex County",ISNE
1192,"MA, Nantucket County",ISNE
1193,"MA, Norfolk County",ISNE
1194,"MA, Plymouth County",ISNE
1195,"MA, Suffolk County",ISNE
1196,"MA, Worcester County",ISNE
1197,"MI, Alcona County",MISE
1198,"MI, Alger County",MISW
1199,"MI, Allegan County",PJMW
1200,"MI, Alpena County",MISE
1201,"MI, Antrim County",MISE
1202,"MI, Arenac County",MISE
1203,"MI, Baraga County",MISW
1204,"MI, Barry County",MISE
1205,"MI, Bay County",MISE
1206,"MI, Benzie County",MISE
1207,"MI, Berrien County",PJMW
1208,"MI, Branch County",MISE
1209,"MI, Calhoun County",MISE
1210,"MI, Cass County",PJMW
1211,"MI, Charlevoix County",MISE
1212,"MI, Cheboygan County",MISE
1213,"MI, Chippewa County",MISW
1214,"MI, Clare County",MISE
1215,"MI, Clinton County",MISE
1216,"MI, Crawford County",MISE
1217,"MI, Delta County",MISW
1218,"MI, Dickinson County",MISW
1219,"MI, Eaton County",MISE
1220,"MI, Emmet County",MISE
1221,"MI, Genesee County",MISE
1222,"MI, Gladwin County",MISE
1223,"MI, Gogebic County",MISW
1224,"MI, Grand Traverse County",MISE
1225,"MI, Gratiot County",MISE
1226,"MI, Hillsdale County",MISE
1227,"MI, Houghton County",MISW
1228,"MI, Huron County",MISE
1229,"MI, Ingham County",MISE
1230,"MI, Ionia County",MISE
1231,"MI, Iosco County",MISE
1232,"MI, Iron County",MISW
1233,"MI, Isabella County",MISE
1234,"MI, Jackson County",MISE
1235,"MI, Kalamazoo County",PJMW
1236,"MI, Kalkaska County",MISE
1237,"MI, Kent County",MISE
1238,"MI, Keweenaw County",MISW
1239,"MI, Lake County",MISE
1240,"MI, Lapeer County",MISE
1241,"MI, Leelanau County",MISE
1242,"MI, Lenawee County",MISE
1243,"MI, Livingston County",MISE
1244,"MI, Luce County",MISW
1245,"MI, Mackinac County",MISW
1246,"MI, Macomb County",MISE
1247,"MI, Manistee County",MISE
1248,"MI, Marquette County",MISW
1249,"MI, Mason County",MISE
1250,"MI, Mecosta County",MISE
1251,"MI, Menominee County",MISW
1252,"MI, Midland County",MISE
1253,"MI, Missaukee County",MISE
1254,"MI, Monroe County",MISE
1255,"MI, Montcalm County",MISE
1256,"MI, Montmorency County",MISE
1257,"MI, Muskegon County",MISE
1258,"MI, Newaygo County",MISE
1259,"MI, Oakland County",MISE
1260,"MI, Oceana County",MISE
1261,"MI, Ogemaw County",MISE
1262,"MI, Ontonagon County",MISW
1263,"MI, Osceola County",MISE
1264,"MI, Oscoda County",MISE
1265,"MI, Otsego County",MISE
1266,"MI, Ottawa County",MISE
1267,"MI, Presque Isle County",MISE
1268,"MI, Roscommon County",MISE
1269,"MI, Saginaw County",MISE
1270,"MI, St. Clair County",MISE
1271,"MI, St. Joseph County",PJMW
1272,"MI, Sanilac County",MISE
1273,"MI, Schoolcraft County",MISW
1274,"MI, Shiawassee County",MISE
1275,"MI, Tuscola County",MISE
1276,"MI, Van Buren County",PJMW
1277,"MI, Washtenaw County",MISE
1278,"MI, Wayne County",MISE
1279,"MI, Wexford County",MISE
1280,"MN, Aitkin County",MISW
1281,"MN, Anoka County",MISW
1282,"MN, Becker County",MISW
1283,"MN, Beltrami County",MISW
1284,"MN, Benton County",MISW
1285,"MN, Big Stone County",MISW
1286,"MN, Blue Earth County",MISW
1287,"MN, Brown County",MISW
1288,"MN, Carlton County",MISW
1289,"MN, Carver County",MISW
1290,"MN, Cass County",MISW
1291,"MN, Chippewa County",SPPN
1292,"MN, Chisago County",MISW
1293,"MN, Clay County",SPPN
1294,"MN, Clearwater County",MISW
1295,"MN, Cook County",MISW
1296,"MN, Cottonwood County",MISW
1297,"MN, Crow Wing County",MISW
1298,"MN, Dakota County",MISW
1299,"MN, Dodge County",MISW
1300,"MN, Douglas County",MISW
1301,"MN, Faribault County",MISW
1302,"MN, Fillmore County",MISW
1303,"MN, Freeborn County",MISW
1304,"MN, Goodhue County",MISW
1305,"MN, Grant County",SPPN
1306,"MN, Hennepin County",MISW
1307,"MN, Houston County",MISW
1308,"MN, Hubbard County",MISW
1309,"MN, Isanti County",MISW
1310,"MN, Itasca County",MISW
1311,"MN, Jackson County",MISW
1312,"MN, Kanabec County",MISW
1313,"MN, Kandiyohi County",MISW
1314,"MN, Kittson County",MISW
1315,"MN, Koochiching County",MISW
1316,"MN, Lac qui Parle County",MISW
1317,"MN, Lake County",MISW
1318,"MN, Lake of the Woods County",MISW
1319,"MN, Le Sueur County",MISW
1320,"MN, Lincoln County",SPPN
1321,"MN, Lyon County",SPPN
1322,"MN, McLeod County",MISW
1323,"MN, Mahnomen County",MISW
1324,"MN, Marshall County",MISW
1325,"MN, Martin County",MISW
1326,"MN, Meeker County",MISW
1327,"MN, Mille Lacs County",MISW
1328,"MN, Morrison County",MISW
1329,"MN, Mower County",MISW
1330,"MN, Murray County",SPPN
1331,"MN, Nicollet County",MISW
1332,"MN, Nobles County",MISW
1333,"MN, Norman County",MISW
1334,"MN, Olmsted County",MISW
1335,"MN, Otter Tail County",SPPN
1336,"MN, Pennington County",MISW
1337,"MN, Pine County",MISW
1338,"MN, Pipestone County",SPPN
1339,"MN, Polk County",SPPN
1340,"MN, Pope County",MISW
1341,"MN, Ramsey County",MISW
1342,"MN, Red Lake County",MISW
1343,"MN, Redwood County",MISW
1344,"MN, Renville County",MISW
1345,"MN, Rice County",MISW
1346,"MN, Rock County",MISW
1347,"MN, Roseau County",MISW
1348,"MN, St. Louis County",MISW
1349,"MN, Scott County",MISW
1350,"MN, Sherburne County",MISW
1351,"MN, Sibley County",MISW
1352,"MN, Stearns County",MISW
1353,"MN, Steele County",MISW
1354,"MN, Stevens County",SPPN
1355,"MN, Swift County",SPPN
1356,"MN, Todd County",MISW
1357,"MN, Traverse County",SPPN
1358,"MN, Wabasha County",MISW
1359,"MN, Wadena County",MISW
1360,"MN, Waseca County",MISW
1361,"MN, Washington County",MISW
1362,"MN, Watonwan County",MISW
1363,"MN, Wilkin County",SPPN
1364,"MN, Winona County",MISW
1365,"MN, Wright County",MISW
1366,"MN, Yellow Medicine County",SPPN
1367,"MS, Adams County",MISS
1368,"MS, Alcorn County",SRCE
1369,"MS, Amite County",MISS
1370,"MS, Attala County",MISS
1371,"MS, Benton County",SRCE
1372,"MS, Bolivar County",MISS
1373,"MS, Calhoun County",MISS
1374,"MS, Carroll County",MISS
1375,"MS, Chickasaw County",SRCE
1376,"MS, Choctaw County",SRCE
1377,"MS, Claiborne County",MISS
1378,"MS, Clarke County",SRSE
1379,"MS, Clay County",SRCE
1380,"MS, Coahoma County",MISS
1381,"MS, Copiah County",MISS
1382,"MS, Covington County",SRSE
1383,"MS, DeSoto County",MISS
1384,"MS, Forrest County",SRSE
1385,"MS, Franklin County",MISS
1386,"MS, George County",SRSE
1387,"MS, Greene County",SRSE
1388,"MS, Grenada County",MISS
1389,"MS, Hancock County",SRSE
1390,"MS, Harrison County",SRSE
1391,"MS, Hinds County",MISS
1392,"MS, Holmes County",MISS
1393,"MS, Humphreys County",MISS
1394,"MS, Issaquena County",MISS
1395,"MS, Itawamba County",SRCE
1396,"MS, Jackson County",SRSE
1397,"MS, Jasper County",SRSE
1398,"MS, Jefferson County",MISS
1399,"MS, Jefferson Davis County",MISS
1400,"MS, Jones County",SRSE
1401,"MS, Kemper County",SRSE
1402,"MS, Lafayette County",SRCE
1403,"MS, Lamar County",SRSE
1404,"MS, Lauderdale County",SRSE
1405,"MS, Lawrence County",MISS
1406,"MS, Leake County",MISS
1407,"MS, Lee County",SRCE
1408,"MS, Leflore County",MISS
1409,"MS, Lincoln County",MISS
1410,"MS, Lowndes County",SRCE
1411,"MS, Madison County",MISS
1412,"MS, Marion County",MISS
1413,"MS, Marshall County",MISS
1414,"MS, Monroe County",SRCE
1415,"MS, Montgomery County",MISS
1416,"MS, Neshoba County",SRSE
1417,"MS, Newton County",SRSE
1418,"MS, Noxubee County",SRCE
1419,"MS, Oktibbeha County",SRCE
1420,"MS, Panola County",MISS
1421,"MS, Pearl River County",SRSE
1422,"MS, Perry County",SRSE
1423,"MS, Pike County",MISS
1424,"MS, Pontotoc County",SRCE
1425,"MS, Prentiss County",SRCE
1426,"MS, Quitman County",MISS
1427,"MS, Rankin County",MISS
1428,"MS, Scott County",MISS
1429,"MS, Sharkey County",MISS
1430,"MS, Simpson County",MISS
1431,"MS, Smith County",SRSE
1432,"MS, Stone County",SRSE
1433,"MS, Sunflower County",MISS
1434,"MS, Tallahatchie County",MISS
1435,"MS, Tate County",MISS
1436,"MS, Tippah County",SRCE
1437,"MS, Tishomingo County",SRCE
1438,"MS, Tunica County",MISS
1439,"MS, Union County",SRCE
1440,"MS, Walthall County",MISS
1441,"MS, Warren County",MISS
1442,"MS, Washington County",MISS
1443,"MS, Wayne County",SRSE
1444,"MS, Webster County",MISS
1445,"MS, Wilkinson County",MISS
1446,"MS, Winston County",SRCE
1447,"MS, Yalobusha County",MISS
1448,"MS, Yazoo County",MISS
1449,"MO, Adair County",MISC
1450,"MO, Andrew County",SPPC
1451,"MO, Atchison County",SPPC
1452,"MO, Audrain County",MISC
1453,"MO, Barry County",SPPC
1454,"MO, Barton County",SPPC
1455,"MO, Bates County",SPPC
1456,"MO, Benton County",SPPC
1457,"MO, Bollinger County",MISC
1458,"MO, Boone County",MISC
1459,"MO, Buchanan County",SPPC
1460,"MO, Butler County",MISC
1461,"MO, Caldwell County",SPPC
1462,"MO, Callaway County",MISC
1463,"MO, Camden County",MISC
1464,"MO, Cape Girardeau County",MISC
1465,"MO, Carroll County",SPPC
1466,"MO, Carter County",MISC
1467,"MO, Cass County",SPPC
1468,"MO, Cedar County",SPPC
1469,"MO, Chariton County",MISC
1470,"MO, Christian County",SPPC
1471,"MO, Clark County",MISC
1472,"MO, Clay County",SPPC
1473,"MO, Clinton County",SPPC
1474,"MO, Cole County",MISC
1475,"MO, Cooper County",MISC
1476,"MO, Crawford County",MISC
1477,"MO, Dade County",SPPC
1478,"MO, Dallas County",SPPC
1479,"MO, Daviess County",SPPC
1480,"MO, DeKalb County",SPPC
1481,"MO, Dent County",MISC
1482,"MO, Douglas County",SPPC
1483,"MO, Dunklin County",MISC
1484,"MO, Franklin County",MISC
1485,"MO, Gasconade County",MISC
1486,"MO, Gentry County",SPPC
1487,"MO, Greene County",SPPC
1488,"MO, Grundy County",SPPC
1489,"MO, Harrison County",SPPC
1490,"MO, Henry County",SPPC
1491,"MO, Hickory County",SPPC
1492,"MO, Holt County",SPPC
1493,"MO, Howard County",MISC
1494,"MO, Howell County",MISC
1495,"MO, Iron County",MISC
1496,"MO, Jackson County",SPPC
1497,"MO, Jasper County",SPPC
1498,"MO, Jefferson County",MISC
1499,"MO, Johnson County",SPPC
1500,"MO, Knox County",MISC
1501,"MO, Laclede County",MISC
1502,"MO, Lafayette County",SPPC
1503,"MO, Lawrence County",SPPC
1504,"MO, Lewis County",MISC
1505,"MO, Lincoln County",MISC
1506,"MO, Linn County",MISC
1507,"MO, Livingston County",SPPC
1508,"MO, McDonald County",SPPC
1509,"MO, Macon County",MISC
1510,"MO, Madison County",MISC
1511,"MO, Maries County",MISC
1512,"MO, Marion County",MISC
1513,"MO, Mercer County",SPPC
1514,"MO, Miller County",MISC
1515,"MO, Mississippi County",MISC
1516,"MO, Moniteau County",MISC
1517,"MO, Monroe County",MISC
1518,"MO, Montgomery County",MISC
1519,"MO, Morgan County",MISC
1520,"MO, New Madrid County",MISC
1521,"MO, Newton County",SPPC
1522,"MO, Nodaway County",SPPC
1523,"MO, Oregon County",MISC
1524,"MO, Osage County",MISC
1525,"MO, Ozark County",SPPC
1526,"MO, Pemiscot County",MISC
1527,"MO, Perry County",MISC
1528,"MO, Pettis County",SPPC
1529,"MO, Phelps County",MISC
1530,"MO, Pike County",MISC
1531,"MO, Platte County",SPPC
1532,"MO, Polk County",SPPC
1533,"MO, Pulaski County",MISC
1534,"MO, Putnam County",MISC
1535,"MO, Ralls County",MISC
1536,"MO, Randolph County",MISC
1537,"MO, Ray County",SPPC
1538,"MO, Reynolds County",MISC
1539,"MO, Ripley County",MISC
1540,"MO, St. Charles County",MISC
1541,"MO, St. Clair County",SPPC
1542,"MO, Ste. Genevieve County",MISC
1543,"MO, St. Francois County",MISC
1544,"MO, St. Louis County",MISC
1545,"MO, Saline County",SPPC
1546,"MO, Schuyler County",MISC
1547,"MO, Scotland County",MISC
1548,"MO, Scott County",MISC
1549,"MO, Shannon County",MISC
1550,"MO, Shelby County",MISC
1551,"MO, Stoddard County",MISC
1552,"MO, Stone County",SPPC
1553,"MO, Sullivan County",MISC
1554,"MO, Taney County",SPPC
1555,"MO, Texas County",MISC
1556,"MO, Vernon County",SPPC
1557,"MO, Warren County",MISC
1558,"MO, Washington County",MISC
1559,"MO, Wayne County",MISC
1560,"MO, Webster County",SPPC
1561,"MO, Worth County",SPPC
1562,"MO, Wright County",MISC
1563,"MO, St. Louis city",MISC
1564,"MT, Beaverhead County",NWPP
1565,"MT, Big Horn County",NWPP
1566,"MT, Blaine County",NWPP
1567,"MT, Broadwater County",NWPP
1568,"MT, Carbon County",NWPP
1569,"MT, Carter County",NWPP
1570,"MT, Cascade County",NWPP
1571,"MT, Chouteau County",NWPP
1572,"MT, Custer County",NWPP
1573,"MT, Daniels County",MISW
1574,"MT, Dawson County",SPPN
1575,"MT, Deer Lodge County",NWPP
1576,"MT, Fallon County",SPPN
1577,"MT, Fergus County",NWPP
1578,"MT, Flathead County",NWPP
1579,"MT, Gallatin County",NWPP
1580,"MT, Garfield County",NWPP
1581,"MT, Glacier County",NWPP
1582,"MT, Golden Valley County",NWPP
1583,"MT, Granite County",NWPP
1584,"MT, Hill County",NWPP
1585,"MT, Jefferson County",NWPP
1586,"MT, Judith Basin County",NWPP
1587,"MT, Lake County",NWPP
1588,"MT, Lewis and Clark County",NWPP
1589,"MT, Liberty County",NWPP
1590,"MT, Lincoln County",NWPP
1591,"MT, McCone County",MISW
1592,"MT, Madison County",NWPP
1593,"MT, Meagher County",NWPP
1594,"MT, Mineral County",NWPP
1595,"MT, Missoula County",NWPP
1596,"MT, Musselshell County",NWPP
1597,"MT, Park County",NWPP
1598,"MT, Petroleum County",NWPP
1599,"MT, Phillips County",NWPP
1600,"MT, Pondera County",NWPP
1601,"MT, Powder River County",NWPP
1602,"MT, Powell County",NWPP
1603,"MT, Prairie County",SPPN
1604,"MT, Ravalli County",NWPP
1605,"MT, Richland County",SPPN
1606,"MT, Roosevelt County",SPPN
1607,"MT, Rosebud County",NWPP
1608,"MT, Sanders County",NWPP
1609,"MT, Sheridan County",MISW
1610,"MT, Silver Bow County",NWPP
1611,"MT, Stillwater County",NWPP
1612,"MT, Sweet Grass County",NWPP
1613,"MT, Teton County",NWPP
1614,"MT, Toole County",NWPP
1615,"MT, Treasure County",NWPP
1616,"MT, Valley County",NWPP
1617,"MT, Wheatland County",NWPP
1618,"MT, Wibaux County",SPPN
1619,"MT, Yellowstone County",NWPP
1620,"NE, Adams County",SPPN
1621,"NE, Antelope County",SPPN
1622,"NE, Arthur County",SPPN
1623,"NE, Banner County",RMRG
1624,"NE, Blaine County",SPPN
1625,"NE, Boone County",SPPN
1626,"NE, Box Butte County",SPPN
1627,"NE, Boyd County",SPPN
1628,"NE, Brown County",SPPN
1629,"NE, Buffalo County",SPPN
1630,"NE, Burt County",SPPN
1631,"NE, Butler County",SPPN
1632,"NE, Cass County",SPPN
1633,"NE, Cedar County",SPPN
1634,"NE, Chase County",SPPN
1635,"NE, Cherry County",SPPN
1636,"NE, Cheyenne County",RMRG
1637,"NE, Clay County",SPPN
1638,"NE, Colfax County",SPPN
1639,"NE, Cuming County",SPPN
1640,"NE, Custer County",SPPN
1641,"NE, Dakota County",SPPN
1642,"NE, Dawes County",RMRG
1643,"NE, Dawson County",SPPN
1644,"NE, Deuel County",SPPN
1645,"NE, Dixon County",SPPN
1646,"NE, Dodge County",SPPN
1647,"NE, Douglas County",SPPN
1648,"NE, Dundy County",SPPN
1649,"NE, Fillmore County",SPPN
1650,"NE, Franklin County",SPPN
1651,"NE, Frontier County",SPPN
1652,"NE, Furnas County",SPPN
1653,"NE, Gage County",SPPN
1654,"NE, Garden County",SPPN
1655,"NE, Garfield County",SPPN
1656,"NE, Gosper County",SPPN
1657,"NE, Grant County",SPPN
1658,"NE, Greeley County",SPPN
1659,"NE, Hall County",SPPN
1660,"NE, Hamilton County",SPPN
1661,"NE, Harlan County",SPPN
1662,"NE, Hayes County",SPPN
1663,"NE, Hitchcock County",SPPN
1664,"NE, Holt County",SPPN
1665,"NE, Hooker County",SPPN
1666,"NE, Howard County",SPPN
1667,"NE, Jefferson County",SPPN
1668,"NE, Johnson County",SPPN
1669,"NE, Kearney County",SPPN
1670,"NE, Keith County",SPPN
1671,"NE, Keya Paha County",SPPN
1672,"NE, Kimball County",RMRG
1673,"NE, Knox County",SPPN
1674,"NE, Lancaster County",SPPN
1675,"NE, Lincoln County",SPPN
1676,"NE, Logan County",SPPN
1677,"NE, Loup County",SPPN
1678,"NE, McPherson County",SPPN
1679,"NE, Madison County",SPPN
1680,"NE, Merrick County",SPPN
1681,"NE, Morrill County",SPPN
1682,"NE, Nance County",SPPN
1683,"NE, Nemaha County",SPPN
1684,"NE, Nuckolls County",SPPN
1685,"NE, Otoe County",SPPN
1686,"NE, Pawnee County",SPPN
1687,"NE, Perkins County",SPPN
1688,"NE, Phelps County",SPPN
1689,"NE, Pierce County",SPPN
1690,"NE, Platte County",SPPN
1691,"NE, Polk County",SPPN
1692,"NE, Red Willow County",SPPN
1693,"NE, Richardson County",SPPN
1694,"NE, Rock County",SPPN
1695,"NE, Saline County",SPPN
1696,"NE, Sarpy County",SPPN
1697,"NE, Saunders County",SPPN
1698,"NE, Scotts Bluff County",SPPN
1699,"NE, Seward County",SPPN
1700,"NE, Sheridan County",SPPN
1701,"NE, Sherman County",SPPN
1702,"NE, Sioux County",RMRG
1703,"NE, Stanton County",SPPN
1704,"NE, Thayer County",SPPN
1705,"NE, Thomas County",SPPN
1706,"NE, Thurston County",SPPN
1707,"NE, Valley County",SPPN
1708,"NE, Washington County",SPPN
1709,"NE, Wayne County",SPPN
1710,"NE, Webster County",SPPN
1711,"NE, Wheeler County",SPPN
1712,"NE, York County",SPPN
1713,"NV, Churchill County",BASN
1714,"NV, Clark County",BASN
1715,"NV, Douglas County",BASN
1716,"NV, Elko County",BASN
1717,"NV, Esmeralda County",BASN
1718,"NV, Eureka County",BASN
1719,"NV, Humboldt County",BASN
1720,"NV, Lander County",BASN
1721,"NV, Lincoln County",BASN
1722,"NV, Lyon County",BASN
1723,"NV, Mineral County",BASN
1724,"NV, Nye County",BASN
1725,"NV, Pershing County",BASN
1726,"NV, Storey County",BASN
1727,"NV, Washoe County",BASN
1728,"NV, White Pine County",BASN
1729,"NV, Carson City",BASN
1730,"NH, Belknap County",ISNE
1731,"NH, Carroll County",ISNE
1732,"NH, Cheshire County",ISNE
1733,"NH, Coos County",ISNE
1734,"NH, Grafton County",ISNE
1735,"NH, Hillsborough County",ISNE
1736,"NH, Merrimack County",ISNE
1737,"NH, Rockingham County",ISNE
1738,"NH, Strafford County",ISNE
1739,"NH, Sullivan County",ISNE
1740,"NJ, Atlantic County",PJME
1741,"NJ, Bergen County",PJME
1742,"NJ, Burlington County",PJME
1743,"NJ, Camden County",PJME
1744,"NJ, Cape May County",PJME
1745,"NJ, Cumberland County",PJME
1746,"NJ, Essex County",PJME
1747,"NJ, Gloucester County",PJME
1748,"NJ, Hudson County",PJME
1749,"NJ, Hunterdon County",PJME
1750,"NJ, Mercer County",PJME
1751,"NJ, Middlesex County",PJME
1752,"NJ, Monmouth County",PJME
1753,"NJ, Morris County",PJME
1754,"NJ, Ocean County",PJME
1755,"NJ, Passaic County",PJME
1756,"NJ, Salem County",PJME
1757,"NJ, Somerset County",PJME
1758,"NJ, Sussex County",PJME
1759,"NJ, Union County",PJME
1760,"NJ, Warren County",PJME
1761,"NM, Bernalillo County",SRSG
1762,"NM, Catron County",SRSG
1763,"NM, Chaves County",SPPS
1764,"NM, Cibola County",SRSG
1765,"NM, Colfax County",SRSG
1766,"NM, Curry County",SPPS
1767,"NM, De Baca County",SRSG
1768,"NM, Dona Ana County",SRSG
1769,"NM, Eddy County",SPPS
1770,"NM, Grant County",SRSG
1771,"NM, Guadalupe County",SRSG
1772,"NM, Harding County",SRSG
1773,"NM, Hidalgo County",SRSG
1774,"NM, Lea County",SPPS
1775,"NM, Lincoln County",SRSG
1776,"NM, Los Alamos County",SRSG
1777,"NM, Luna County",SRSG
1778,"NM, McKinley County",SRSG
1779,"NM, Mora County",SRSG
1780,"NM, Otero County",SRSG
1781,"NM, Quay County",SPPS
1782,"NM, Rio Arriba County",SRSG
1783,"NM, Roosevelt County",SPPS
1784,"NM, Sandoval County",SRSG
1785,"NM, San Juan County",RMRG
1786,"NM, San Miguel County",SRSG
1787,"NM, Santa Fe County",SRSG
1788,"NM, Sierra County",SRSG
1789,"NM, Socorro County",SRSG
1790,"NM, Taos County",SRSG
1791,"NM, Torrance County",SRSG
1792,"NM, Union County",SRSG
1793,"NM, Valencia County",SRSG
1794,"NY, Albany County",NYUP
1795,"NY, Allegany County",NYUP
1796,"NY, Bronx County",NYCW
1797,"NY, Broome County",NYUP
1798,"NY, Cattaraugus County",NYUP
1799,"NY, Cayuga County",NYUP
1800,"NY, Chautauqua County",NYUP
1801,"NY, Chemung County",NYUP
1802,"NY, Chenango County",NYUP
1803,"NY, Clinton County",NYUP
1804,"NY, Columbia County",NYUP
1805,"NY, Cortland County",NYUP
1806,"NY, Delaware County",NYUP
1807,"NY, Dutchess County",NYUP
1808,"NY, Erie County",NYUP
1809,"NY, Essex County",NYUP
1810,"NY, Franklin County",NYUP
1811,"NY, Fulton County",NYUP
1812,"NY, Genesee County",NYUP
1813,"NY, Greene County",NYUP
1814,"NY, Hamilton County",NYUP
1815,"NY, Herkimer County",NYUP
1816,"NY, Jefferson County",NYUP
1817,"NY, Kings County",NYCW
1818,"NY, Lewis County",NYUP
1819,"NY, Livingston County",NYUP
1820,"NY, Madison County",NYUP
1821,"NY, Monroe County",NYUP
1822,"NY, Montgomery County",NYUP
1823,"NY, Nassau County",NYCW
1824,"NY, New York County",NYCW
1825,"NY, Niagara County",NYUP
1826,"NY, Oneida County",NYUP
1827,"NY, Onondaga County",NYUP
1828,"NY, Ontario County",NYUP
1829,"NY, Orange County",NYUP
1830,"NY, Orleans County",NYUP
1831,"NY, Oswego County",NYUP
1832,"NY, Otsego County",NYUP
1833,"NY, Putnam County",NYUP
1834,"NY, Queens County",NYCW
1835,"NY, Rensselaer County",NYUP
1836,"NY, Richmond County",PJME
1837,"NY, Rockland County",NYUP
1838,"NY, St. Lawrence County",NYUP
1839,"NY, Saratoga County",NYUP
1840,"NY, Schenectady County",NYUP
1841,"NY, Schoharie County",NYUP
1842,"NY, Schuyler County",NYUP
1843,"NY, Seneca County",NYUP
1844,"NY, Steuben County",NYUP
1845,"NY, Suffolk County",NYCW
1846,"NY, Sullivan County",NYUP
1847,"NY, Tioga County",NYUP
1848,"NY, Tompkins County",NYUP
1849,"NY, Ulster County",NYUP
1850,"NY, Warren County",NYUP
1851,"NY, Washington County",NYUP
1852,"NY, Wayne County",NYUP
1853,"NY, Westchester County",NYCW
1854,"NY, Wyoming County",NYUP
1855,"NY, Yates County",NYUP
1856,"NC, Alamance County",SRCA
1857,"NC, Alexander County",SRCA
